,name,image_url,description,website,linkedin,crunchbase_url,headquarters_location
162,Royal Iron,https://images.crunchbase.com/image/upload/t_cb-default-original/hqac41tnabefqwosurtz,"Royal Iron NY crafts custom iron works for residential and commercial spaces, including gates, railings, and awnings.",https://royalironny.com,https://www.linkedin.com/company/royal-iron-works,https://www.crunchbase.com/organization/royal-iron,"Brooklyn, New York, United States, North America"
163,Winter Harbor Marina,https://images.crunchbase.com/image/upload/t_cb-default-original/pxd3jg2h8mofydojfuds,"Winter Harbor LLC is a boat services company that offers boat repairs, painting, and transient services.",https://winterharborllc.com,https://www.linkedin.com/company/market-29-consulting-studio,https://www.crunchbase.com/organization/winter-harbor-marina,"Central Square, New York, United States, North America"
164,Rocket Statements,https://images.crunchbase.com/image/upload/t_cb-default-original/gpq9n69py8ob5dl3pbum,The Top Bank Statement Converter Tool,https://www.rocketstatements.com/,,https://www.crunchbase.com/organization/rocket-statements,"New York, New York, United States, North America"
165,DataCicada,https://images.crunchbase.com/image/upload/t_cb-default-original/ybflvntozzbif1cxx26e,"DataCicada is a scientist at heart, and they thrive in assisting you in overcoming your most complex data difficulties.",https://datacicada.com,https://www.linkedin.com/company/datacicada,https://www.crunchbase.com/organization/datacicada,"Rochester, New York, United States, North America"
166,John Edwards Real Estate,https://images.crunchbase.com/image/upload/t_cb-default-original/mwohdr8qdqbazf21vbyv,"John Edwards Real Estate Inc. offers real estate services in NY, specializing in sales of homes, co-ops, condos, and land.",https://www.johnedwardsrealestate.com,https://www.linkedin.com/company/john-edwards-real-estate-inc,https://www.crunchbase.com/organization/john-edwards-real-estate,"Bronx, New York, United States, North America"
167,Stonecap Equities,https://images.crunchbase.com/image/upload/t_cb-default-original/uxaydhzgbesowpok4vdp,"Stonecap Equities offers investment solutions and financial advisory services, focusing on client value.",https://www.stonecapequities.com,,https://www.crunchbase.com/organization/stonecap-equities,"New York, New York, United States, North America"
168,Westmusa,https://images.crunchbase.com/image/upload/t_cb-default-original/cacqefprlrlinndidknj,Westmusa Inc. offers tax and accounting services focusing on US and Nordic tax laws for companies and individuals.,http://westmusa.com,https://www.linkedin.com/company/westmusa-inc,https://www.crunchbase.com/organization/westmusa,"New York, New York, United States, North America"
169,TraDigital,https://images.crunchbase.com/image/upload/t_cb-default-original/f6p9m0zaum0y2kk932vh,"TraDigital is a communications firm that offers digital audits, video content creation, and digital marketing services.",https://www.tradigitalir.com,https://www.linkedin.com/company/tradigital-ir,https://www.crunchbase.com/organization/tradigital,"New York, New York, United States, North America"
170,Parise Marketing Group,https://images.crunchbase.com/image/upload/t_cb-default-original/vpwdmai3ruzegxskcgrr,Parise Marketing Grp. offers consulting services specializing in strategic marketing solutions.,https://www.parise.com,https://www.linkedin.com/company/parise-marketing-group ,https://www.crunchbase.com/organization/parise-marketing-group,"Hopewell Junction, New York, United States, North America"
171,Clearview Gardens,,Clearview Gardens is a property development company that develops residential properties.,https://clearviewgardens.com,https://www.linkedin.com/company/clearview-gardens-corp,https://www.crunchbase.com/organization/clearview-gardens,"Whitestone, New York, United States, North America"
172,Garrison Bradford & Associates,,Garrison Bradford & Associates is a financial services firm that provides long-term investment and asset management services.,https://garrisonbradfordinvestments.com,https://www.linkedin.com/company/garrison-bradford-&-associates-inc.,https://www.crunchbase.com/organization/garrison-bradford-associates,"New York, New York, United States, North America"
173,MassRadius,https://images.crunchbase.com/image/upload/t_cb-default-original/equsgx0ijbsqfpd3mktm,"Mass Radius specializes in SEO, content development, brand planning, and management services.",http://www.massradius.com,,https://www.crunchbase.com/organization/massradius,"New York, New York, United States, North America"
174,AIM Educational Services,https://images.crunchbase.com/image/upload/t_cb-default-original/q66nq70rihekgcuftdf6,AIM Educational Services is an online educational institution that offers college applications and tutoring services.,https://www.aimonlineacademy.com,https://www.linkedin.com/company/aim-educational-services,https://www.crunchbase.com/organization/aim-educational-services,"Jamaica, New York, United States, North America"
175,Out2Win Sports,https://images.crunchbase.com/image/upload/t_cb-default-original/jgfnaruqcrpdoompxr5u,"Out2Win is a marketing platform for brands to discover, analyze, and vet athletes for their marketing campaigns.",https://www.out2win.io/,https://www.linkedin.com/company/out2win-sports,https://www.crunchbase.com/organization/out2win-sports,"Syracuse, New York, United States, North America"
176,Inari Medical,https://images.crunchbase.com/image/upload/t_cb-default-original/v1435722236/kkvrezugoihxz1urmnni.png,Inari Medical is a medical device company that develops devices for the interventional treatment of cardiovascular diseases.,http://inarimedical.com/,https://www.linkedin.com/company/inari-medical/,https://www.crunchbase.com/organization/inari-medical,"Irvine, California, United States, North America"
177,Magic Home Care,https://images.crunchbase.com/image/upload/t_cb-default-original/gthvfnzuyhrnuyu0etzg,Magic Home Care offers quality home care services and compassionate health care in New York.,https://www.magichomecareny.com,,https://www.crunchbase.com/organization/magic-home-care,"Brooklyn, New York, United States, North America"
178,Informex IT Solution,https://images.crunchbase.com/image/upload/t_cb-default-original/hwnqvynmpgtsmnfnumzv,"Informex IT Solution specializes in web and application development, focusing on innovative design and technology.",https://informexit.com,https://www.linkedin.com/company/informex-it-solution,https://www.crunchbase.com/organization/informex-it-solution,"New City, New York, United States, North America"
179,Loft2Tower,https://images.crunchbase.com/image/upload/t_cb-default-original/p9vvkzhpgbkomnacajet,"Loft2Tower is a real estate development company that offers advice, consulting, valuation, and management services.",https://www.loft2tower.com,https://www.linkedin.com/company/loft-2-tower-inc,https://www.crunchbase.com/organization/loft2tower,"New York, New York, United States, North America"
180,All Medical Care Group,https://images.crunchbase.com/image/upload/t_cb-default-original/atazjs8j0mvdrnmewpsb,"All Medical Care Grp. offers comprehensive healthcare services, including physical therapy, chiropractic, and medical.",http://allmedicalcaregroup.com,https://www.linkedin.com/company/all-medical-riverdale-services-pc,https://www.crunchbase.com/organization/all-medical-care-group,"New York, New York, United States, North America"
181,HCMpoint,https://images.crunchbase.com/image/upload/t_cb-default-original/vqzemqtlcjt4gudc9k1h,"HCMpoint offers HCM technology solutions, specializing in Workday implementation and optimization across various industries.",https://www.hcmpoint.com,https://www.linkedin.com/company/hcmpoint,https://www.crunchbase.com/organization/hcmpoint,"Woodbury, New York, United States, North America"
182,Creative Spaces NYC,https://images.crunchbase.com/image/upload/t_cb-default-original/xpsd7ulzvkpnjlgalnox,Creative Spaces NYC is a real estate agency that leases commercial office and retail space.,https://www.creativespaces.nyc,https://www.linkedin.com/company/creative-spaces-nyc,https://www.crunchbase.com/organization/creative-spaces-nyc,"New York, New York, United States, North America"
183,Avant Bio,https://images.crunchbase.com/image/upload/t_cb-default-original/wuosrzleumz8tiem3gwj,"Early stage and growth equity investment firm focused on Healthtech, Tech Bio and Life Sciences across all stages.",http://www.avant.bio,https://www.linkedin.com/company/avant-bio-llc,https://www.crunchbase.com/organization/avant-bio,"New York, New York, United States, North America"
184,Beaumont Training Group,https://images.crunchbase.com/image/upload/t_cb-default-original/pluw3sdt0zmf2fiikf1o,Beaumont Training Group is a corporate training company that provides professional development training programs for companies.,https://beaumonttraining.com,https://www.linkedin.com/company/beaumont-training-group/,https://www.crunchbase.com/organization/beaumont-training-group,"New York, New York, United States, North America"
185,Humonix Biosciences,https://images.crunchbase.com/image/upload/t_cb-default-original/sj2qfcl0l5kozvhtuxvd,Humonix Biosciences is a pharma research company.,https://www.humonixbio.com,https://www.linkedin.com/company/humonix-biosciences,https://www.crunchbase.com/organization/humonix-biosciences,"Albany, New York, United States, North America"
186,Sapphire Nursing & Rehab,https://images.crunchbase.com/image/upload/t_cb-default-original/nxzcug70zr03dwfvchuq,"Sapphire Nursing & Rehab is a healthcare center that offers dietary care, recreation activities, and therapy services.",http://goshencare.com,https://www.linkedin.com/company/sapphire-nursing-and-rehab-at-goshen,https://www.crunchbase.com/organization/sapphire-nursing-rehab,"Goshen, New York, United States, North America"
187,Shiboleth,https://images.crunchbase.com/image/upload/t_cb-default-original/cxzmtjhl4rubxyowa3jw,Shiboleth automates back-office QA and compliance in consumer lending.,https://shiboleth.ai,https://www.linkedin.com/company/shiboleth/about,https://www.crunchbase.com/organization/shiboleth,"New York, New York, United States, North America"
188,Swift River Associates,https://images.crunchbase.com/image/upload/t_cb-default-original/wpj1zojahrwfjw5yjwdg,SwiftRiver Associates offers professional services for personal and organizational development.,https://www.swiftriverassociates.com,https://www.linkedin.com/company/swiftriver-associates,https://www.crunchbase.com/organization/swift-river-associates,"Tonawanda, New York, United States, North America"
189,Barami,https://images.crunchbase.com/image/upload/t_cb-default-original/hpovi6ayogvlvub2lqxg,"Barami is a women's clothing store that sells tops, sweaters, coats, dresses, clutches, purses, and handbags.",https://barami.com,,https://www.crunchbase.com/organization/barami,"Brooklyn, New York, United States, North America"
190,INTELLIGENXE,https://images.crunchbase.com/image/upload/t_cb-default-original/xvn53bqovqejajygcxww,"INTELLIGENXE is a school of thought that focuses on developing, testing, and optimizing its OFIP business model.",https://intelligenxe.com,https://www.linkedin.com/company/intelligenxe-inc.,https://www.crunchbase.com/organization/intelligenxe,"New York, New York, United States, North America"
191,Morgan Holland Ventures,,Morgan Holland Ventures is a Finance company.,,,https://www.crunchbase.com/organization/morgan-holland-ventures,
192,Precision Web Tech,https://images.crunchbase.com/image/upload/t_cb-default-original/vslyjstickpvfsv13bep,"Precision Web Tech Inc. offers technology solutions like network services, cloud services, and IP security.",https://precisionwebtech.com,https://www.linkedin.com/company/precision-web-tech-inc-,https://www.crunchbase.com/organization/precision-web-tech,"Jamestown, New York, United States, North America"
193,ITeXPRESSION,https://images.crunchbase.com/image/upload/t_cb-default-original/hhuqdiepvgy6e62jdiws,"IT Expression is an IT service company that offers web designs, mobile app development, and SEO services.",https://www.itexpression.com,https://www.linkedin.com/company/itexpression,https://www.crunchbase.com/organization/it-expression,"New York, New York, United States, North America"
194,iCouldBe.org,https://images.crunchbase.com/image/upload/t_cb-default-original/nwk93iw0ikosuppp92pq,iCouldBe is a digital platform that provides mentorship and professional advice to the students.,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eicouldbe%2Eorg&urlhash=xRlQ&trk=about_website,https://www.linkedin.com/company/icouldbe.org,https://www.crunchbase.com/organization/icouldbe-org,"New York, New York, United States, North America"
195,Biz Ground Up,https://images.crunchbase.com/image/upload/t_cb-default-original/syxw0ttvokwkfirkuknn,"Biz Ground Up is an IT company that offers graphic design, SEO, social media management, and marketing solutions.",https://bizgroundup.com,https://www.linkedin.com/company/biz-ground-up,https://www.crunchbase.com/organization/biz-ground-up,"Suffern, New York, United States, North America"
196,The Greater Ridgewood Youth Council,https://images.crunchbase.com/image/upload/t_cb-default-original/lkndmzeernl9gukpcdlg,"The Greater Ridgewood Youth Council offers education, counseling, and truancy prevention programs for youth in New York.",https://www.greaterridgewoodyouthcouncil.org,https://www.linkedin.com/company/the_gryc,https://www.crunchbase.com/organization/the-greater-ridgewood-youth-council,"Ridgewood, New York, United States, North America"
197,Cryostar Industries,https://images.crunchbase.com/image/upload/t_cb-default-original/xg9y5e1eentrx3c8xg45,CRYOSTAR INDUSTRIES INC repairs and maintains refrigerated lab equipment for the life sciences industry.,https://cryostarindustries.com,https://www.linkedin.com/company/cryostar-industries-inc/,https://www.crunchbase.com/organization/cryostar-industries,"Westbury, New York, United States, North America"
198,Noreast Property Management Corp.,https://images.crunchbase.com/image/upload/t_cb-default-original/sl1kr0sgkwlxv7ycpibq,"Noreast Property Management Corp. offers property management, construction oversight, and interior design services.",https://noreastpm.com,,https://www.crunchbase.com/organization/noreast-property-management-corp,"Hawthorne, New York, United States, North America"
199,Cranford Advisors,https://images.crunchbase.com/image/upload/t_cb-default-original/t3wjibpphtez88nj6lwv,Cranford Advisors specializes in capital raising and advisory for niche investment opportunities.,https://www.cranfordadvisors.com/,https://www.linkedin.com/company/cranford-advisors,https://www.crunchbase.com/organization/cranford-advisors,"New York, New York, United States, North America"
200,Brilliant Smiles Bellevue,https://images.crunchbase.com/image/upload/t_cb-default-original/txw5spndtaaqe9nfum6n,"Brilliant Smiles Bellevue provides general, cosmetic, and holistic dental services.",https://www.brilliantsmilesbellevue.com,https://www.linkedin.com/company/brilliant-smiles-bellevue,https://www.crunchbase.com/organization/brilliant-smiles-bellevue,"Bellevue, Washington, United States, North America"
201,Island SEO Consultant,https://images.crunchbase.com/image/upload/t_cb-default-original/ecsvbqojdiggy1zaokcb,Island SEO Consultant offers SEO and digital marketing services for dental professionals.,http://islandseoconsultant.com,https://www.linkedin.com/company/islandseoconsultant/about/,https://www.crunchbase.com/organization/island-seo-consultant,"New York, New York, United States, North America"
202,RETRO MEDIA NYC,https://images.crunchbase.com/image/upload/t_cb-default-original/vtohju7khzz1l8iux1z3,"RETRO MEDIA NYC offers customized web design, graphics, and educational resources for effective storytelling.",https://www.retromedianyc.com,,https://www.crunchbase.com/organization/retro-media-nyc,"New York, New York, United States, North America"
203,Solaria Riverdale,,Solaria Riverdale is a real estate agency that offers property selling and buying services.,http://www.solariariverdale.com,,https://www.crunchbase.com/organization/solaria-riverdale,"New York, New York, United States, North America"
204,LE Traffic Signal,,LE Traffic Signal is a company.,,,https://www.crunchbase.com/organization/le-traffic-signal,"New York, New York, United States, North America"
205,Actlien,https://images.crunchbase.com/image/upload/t_cb-default-original/vo17reiqgchqfqlnhinh,Actlien serves and supports a growing portfolio of rental properties owned by affiliated companies in New Jersey.,https://www.actlien.com,https://www.linkedin.com/company/actlien-property-management-llc,https://www.crunchbase.com/organization/actlien,"New York, New York, United States, North America"
206,Mass Invest,https://images.crunchbase.com/image/upload/t_cb-default-original/voy4dqm4xdoptwujxvv7,Tech-enabled platform that democratizes access to investing in private funds for non-institutional investors,https://www.massinvest.io/,,https://www.crunchbase.com/organization/mass-invest,"New York, New York, United States, North America"
207,Premier Global Solutions,https://images.crunchbase.com/image/upload/t_cb-default-original/puu6qram68eqhexvuxr1,"Premier Global Solutions imports, exports, and wholesales consumer and healthcare products.",https://www.premierglobalsolutions.com,https://www.linkedin.com/company/premierglobalsolutions,https://www.crunchbase.com/organization/premier-global-solutions,"Glen Head, New York, United States, North America"
208,Globals Times,https://images.crunchbase.com/image/upload/t_cb-default-original/gkr9hwiomecfjgrunei2,"Globals Times is a news media company based in New York, USA, that provides news and analysis on international affairs.",https://www.globalstimes.com,,https://www.crunchbase.com/organization/globals-times,"New York, New York, United States, North America"
209,Betty Cuningham Gallery,https://images.crunchbase.com/image/upload/t_cb-default-original/gykeg3iewzabg7o9vikm,"Betty Cuningham Gallery showcases modern and contemporary art, offering exhibitions and an online viewing room.",http://www.bettycuninghamgallery.com,https://www.linkedin.com/company/betty-cuningham-gallery/,https://www.crunchbase.com/organization/betty-cuningham-gallery,"New York, New York, United States, North America"
210,Weekly Link,https://images.crunchbase.com/image/upload/t_cb-default-original/oer1lpqvmksn9lkys2hy,Weekly Link publishes a weekly magazine for community engagement and business advertising.,https://weeklylink.com,https://www.linkedin.com/company/the-weekly-link/,https://www.crunchbase.com/organization/weekly-link,"Brooklyn, New York, United States, North America"
211,Eastern Coffee Products,https://images.crunchbase.com/image/upload/t_cb-default-original/baflrl9czdvxijmvij6v,Eastern Coffee Products is a supplier of coffee and tea products.,http://www.easterncoffee.com,https://www.linkedin.com/company/eastern-coffee-products-inc-/,https://www.crunchbase.com/organization/eastern-coffee-products,"Bohemia, New York, United States, North America"
212,Pizza Box Crafters,https://images.crunchbase.com/image/upload/t_cb-default-original/bprfsctq0xjiigcyujmo,"We pride ourselves on offering top-quality, fully customizable pizza boxes tailor-made for your restaurant and branding.",https://pizzasliceboxes.com/,https://www.linkedin.com/company/pizza-slice-boxes/,https://www.crunchbase.com/organization/pizza-box-crafters,"New York, New York, United States, North America"
213,Karl Family Dental Associates,https://images.crunchbase.com/image/upload/t_cb-default-original/gumos4q3kdcgmzziwsoe,"Karl Family Dental Associates specializes in cosmetic dentistry, teeth whitening, and peidatric dentistry.",https://www.hoffmankarldmd.com,https://www.linkedin.com/company/hoffman-karl-dental-assoc.-pllc,https://www.crunchbase.com/organization/karl-family-dental-associates,"Staten Island, New York, United States, North America"
214,Only Results Marketing,https://images.crunchbase.com/image/upload/t_cb-default-original/rkntdvmkubnfprnasile,"Only Results Marketing focuses on tangible outcomes in advertising, maximizing conversions and customer engagement.",https://onlyresultsmarketing.com,https://www.linkedin.com/company/only-results-marketing,https://www.crunchbase.com/organization/only-results-marketing,"Brooklyn, New York, United States, North America"
215,Charitable Broker,https://images.crunchbase.com/image/upload/t_cb-default-original/zqvgqpvpkl1qencmrxuq,Charitable Broker is a real estate firm donating 20% of commissions to clients' chosen charities.,https://www.charitablebroker.com,,https://www.crunchbase.com/organization/charitable-broker,"New York, New York, United States, North America"
216,Future Value Associates,https://images.crunchbase.com/image/upload/t_cb-default-original/zxzg0ecfhcm5g2cju73f,"Future Value Associates offers financial services including benefits, finance, insurance, and investment strategies.",https://www.futurevalueassociates.com,https://www.linkedin.com/company/future-value-associates-ltd/,https://www.crunchbase.com/organization/future-value-associates,"Pound Ridge, New York, United States, North America"
217,Hamilton House Publishers,https://images.crunchbase.com/image/upload/t_cb-default-original/vtyvf5kqtbht7xviwhvr,"Hamilton House Publishers Ltd. creates ELT materials, including textbooks, e-books, and online learning platforms.",https://www.hamiltonhousepublishers.com,https://www.linkedin.com/company/hamilton-house-publishers,https://www.crunchbase.com/organization/hamilton-house-publishers,"New York, New York, United States, North America"
218,Peabody Capital Group,https://images.crunchbase.com/image/upload/t_cb-default-original/ezemzv2timrkercgku0z,Financial Consultant & Investor,https://pbdcapitalgroup.com/,https://www.linkedin.com/company/peabodycapital/,https://www.crunchbase.com/organization/peabody-capital-group,"Chicago, Illinois, United States, North America"
219,Bespokino,https://images.crunchbase.com/image/upload/t_cb-default-original/ku5vpg1pajnnlpfzaad3,"Bespokino is an innovative pioneer in custom clothing, offering bespoke shirts for men.",http://bespokino.com,https://www.linkedin.com/company/bespokino,https://www.crunchbase.com/organization/bespokino,"New York, New York, United States, North America"
220,Rio Consulting,https://images.crunchbase.com/image/upload/t_cb-default-original/d04d3r8zbgu4gxapd6qs,"Rio Consulting offers practice management software, professional medical billing, and collection services.",https://www.rioconsultingcorp.com,,https://www.crunchbase.com/organization/rio-consulting,"Brooklyn, New York, United States, North America"
221,New York Medical Space,https://images.crunchbase.com/image/upload/t_cb-default-original/wtjcdjegpdrgn0icgq6p,"New York Medical Space brokers medical offices for sale and lease in NYC, offering market evaluations and personalized service.",https://newyorkmedicalspace.com,https://www.linkedin.com/company/new-york-medical-space,https://www.crunchbase.com/organization/new-york-medical-space,"New York, New York, United States, North America"
222,Central Plumbing and Heating Supply Co.,https://images.crunchbase.com/image/upload/t_cb-default-original/jibto8sr2gclgez2gvch,"Central Plumbing and Heating Supply Co., Inc. manufactures and supplies furnace components and related products.",https://centralplumbingandheating.com,https://www.linkedin.com/company/central-plumbing-and-heating-supply-company-inc,https://www.crunchbase.com/organization/central-plumbing-and-heating-supply-co,"Schenectady, New York, United States, North America"
223,Royal Realty Company,,"Royal Realty Company offers real estate, commercial real estate, and property management services.",https://www.royalrealty.info,,https://www.crunchbase.com/organization/royal-realty-company,"New York, New York, United States, North America"
224,PRVT Party,https://images.crunchbase.com/image/upload/t_cb-default-original/sowwxxfupwy8mgplnzxu,"PRVT Party offers a platform for building guest lists and finding event venues, including private rooms in bars and restaurants.",https://www.prvtparty.com,https://www.linkedin.com/company/prvt-party,https://www.crunchbase.com/organization/prvt-party,"New York, New York, United States, North America"
225,Red Creek Productions,https://images.crunchbase.com/image/upload/t_cb-default-original/igkr20b2i64hn8zoptfp,"Red Creek Productions is a filmmaking company that produces films, television, documentaries, commercials, and photos.",https://www.redcreek.info,https://www.linkedin.com/company/red-creek-productions,https://www.crunchbase.com/organization/red-creek-productions,"Brooklyn, New York, United States, North America"
226,Gambacorta & Dental Associates,https://images.crunchbase.com/image/upload/t_cb-default-original/akz03bli37k4npcvgqp3,"Gambacorta & Dental Associates specializes in dental implants, bonding, extraction, and bridges.",https://www.gdawny.com,https://www.linkedin.com/company/dr-gambacorta-and-dental-associates,https://www.crunchbase.com/organization/gambacorta-dental-associates,"Cheektowaga, New York, United States, North America"
227,PSG Digital,https://images.crunchbase.com/image/upload/t_cb-default-original/zqfyprijlh6vxdcof5ji,"PSG Digital invests in digital assets and DeFi, offering managed investment opportunities.",https://www.psg-digital.com,https://www.linkedin.com/company/psg-capital/,https://www.crunchbase.com/organization/psg-digital,"New York, New York, United States, North America"
228,Meyco Products,https://images.crunchbase.com/image/upload/t_cb-default-original/hkt30qb6lxbxvajvll1u,"Meyco Products, Inc. manufactures custom winter pool covers, ensuring pool safety and aesthetics during off-seasons.",https://meycoproducts.com,https://www.linkedin.com/company/meyco-pool-covers,https://www.crunchbase.com/organization/meyco-products-4d8f,"Melville, New York, United States, North America"
229,Basketfull Gift Baskets,https://images.crunchbase.com/image/upload/t_cb-default-original/c8s04kgptn8cbnpmwkbr,"Basketfull Gift Baskets creates artisanal gift baskets with gourmet foods, bath products, and more for various occasions.",https://www.basketfullonline.com,,https://www.crunchbase.com/organization/basketfull-gift-baskets,"Bohemia, New York, United States, North America"
230,Baharestani & Ritt,https://images.crunchbase.com/image/upload/t_cb-default-original/ndycmvlyzrg3qcbkm0uk,"Baharestani & Ritt LLP specializes in accounting, tax, and wealth-building services with a boutique approach.",https://bzrllp.com,http://www.linkedin.com/company/baharestani-and-ritt-llp,https://www.crunchbase.com/organization/baharestani-ritt,"New York, New York, United States, North America"
231,Hemp Farms of New York,https://images.crunchbase.com/image/upload/t_cb-default-original/ajdgtvkw2qjau4qyue1j,"Hemp Farms of New York specializes in CBD isolate and distillate production, offering seed-to-shelf CBD products.",https://www.hempfarmsofny.com,https://www.linkedin.com/company/hempfarmsofny,https://www.crunchbase.com/organization/hemp-farms-of-new-york,"New Windsor, New York, United States, North America"
232,Gotham City Capital,https://images.crunchbase.com/image/upload/t_cb-default-original/jwhwr2w0zdsit6nlyypz,Gotham City Capital offers financial services like business loans and equipment financing in the U.S. and Canada.,https://www.gothamcitycapital.net/,https://www.linkedin.com/company/gotham-city-capital,https://www.crunchbase.com/organization/gotham-city-capital,"New York, New York, United States, North America"
233,Kamis,https://images.crunchbase.com/image/upload/t_cb-default-original/nowtyw07cuq6zygehln3,"Kamis is a professional recruiting firm which offers contract, contract to hire, and direct placement services.",https://kamispro.com,https://www.linkedin.com/company/kamis-professional-staffing/,https://www.crunchbase.com/organization/kamis,"Gaithersburg, Maryland, United States, North America"
234,Get-Dev,https://images.crunchbase.com/image/upload/t_cb-default-original/pfizmxetmtzcksmcvyn4,"Get-Dev offers custom software development and integration services, with a focus on developer resources.",https://www.get-dev.com,,https://www.crunchbase.com/organization/get-dev,"New York, New York, United States, North America"
235,Dalrymple Holding Corporation,,"Dalrymple Holding Corp specializes in manufacturing crushed stone, sand, gravel, rip rap, and hot mix asphalt.",https://dev.dalrympleholding.com,https://www.linkedin.com/company/dalrymple-holding-corp-/,https://www.crunchbase.com/organization/dalrymple-holding-corporation,"Pine City, New York, United States, North America"
236,Bourlet Art Logistics,https://images.crunchbase.com/image/upload/t_cb-default-original/jmfhqd5tsahspc4oiot7,"Bourlet Art Logistics specializes in art transportation, international logistics, crating, and art installation services.",https://www.bourlet.com,https://www.linkedin.com/company/bourlet-art-logistics,https://www.crunchbase.com/organization/bourlet-art-logistics,"Long Island City, New York, United States, North America"
237,Forward Funders,https://images.crunchbase.com/image/upload/t_cb-default-original/fgv1vtl9pjhejaolxbr3,"Forward Funders offers financial solutions for small businesses, providing fast, and flexible funding services.",https://www.forwardfundinggroup.com,https://www.linkedin.com/company/forwardfunders,https://www.crunchbase.com/organization/forward-funders,"Staten Island, New York, United States, North America"
238,The Le Blanc Organization,https://images.crunchbase.com/image/upload/t_cb-default-original/eexluzx9zmlpfbdtgdzn,The Le Blanc Organization is a commercial real estate information company that offers real estate investment and brokerage services.,http://www.loftsbrooklyn.com,https://www.linkedin.com/company/le-blanc-organization/about/,https://www.crunchbase.com/organization/the-le-blanc-organization,"Brooklyn, New York, United States, North America"
239,Iranian American Society of New York,https://images.crunchbase.com/image/upload/t_cb-default-original/ngihxlbvg7ollwu90nhf,"Iranian American Society Of New York promotes Persian culture, language, and heritage through events and programs.",https://iasnewyork.org,https://www.linkedin.com/company/iranian-american-society-of-new-york-inc,https://www.crunchbase.com/organization/iranian-american-society-of-new-york,"Greenvale, New York, United States, North America"
240,CBA Full Gallop,https://images.crunchbase.com/image/upload/t_cb-default-original/jfyqccodxzquvifudghl,"CBA Full Gallop is a training program that teaches frameworks, tool sets, and skillsets.",https://www.cba-link.com,,https://www.crunchbase.com/organization/cba-full-gallop,"Scarsdale, New York, United States, North America"
241,Kulipa,https://images.crunchbase.com/image/upload/t_cb-default-original/llxxlpa1ocnxjef86wx0,Kulipa service allows individuals to pre-order and pay food and drink from restaurants via the mobile app.,https://www.kulipa.se/,,https://www.crunchbase.com/organization/kulipa,"Linköping, Ostergotlands Lan, Sweden, Europe"
242,Town of Mamaroneck,https://images.crunchbase.com/image/upload/t_cb-default-original/es0wucgsab6yvbro66ro,"Town of Mamaroneck offers municipal services, including emergency services, recreation, and sustainability efforts.",https://townofmamaroneckny.org,https://www.linkedin.com/company/town-of-mamaroneck,https://www.crunchbase.com/organization/town-of-mamaroneck,"Mamaroneck, New York, United States, North America"
243,Wells Narrative Group,https://images.crunchbase.com/image/upload/t_cb-default-original/ev90lwklj4xnmhl68rxa,Wells Narrative Grp. LLC specializes in content creation and strategic communications to amplify brands and build influence.,https://www.wellsnarrative.com,https://www.linkedin.com/company/wells-narrative-group,https://www.crunchbase.com/organization/wells-narrative-group,"New York, New York, United States, North America"
244,Verified PayPal Accounts,https://images.crunchbase.com/image/upload/t_cb-default-original/gfxfd0yuzswdf8x2ibaf,Verified PayPal Accounts PayPal is the most important and most used virtual money payment system worldwide,https://seosmmsellar.com/product/buy-verified-paypal-accounts/,,https://www.crunchbase.com/organization/verified-paypal-accounts-efde,"New York, New York, United States, North America"
245,Fulep Fire Protection Co.,https://images.crunchbase.com/image/upload/t_cb-default-original/wvh6dvrc6nas2ot3lwqy,"Fulep Fire Protection offers fire sprinkler and standpipe installation, repair, and maintenance services.",https://www.fulepfire.com,https://www.linkedin.com/company/fulep-fire-protection-co.-llc/,https://www.crunchbase.com/organization/fulep-fire-protection-co,"Islandia, New York, United States, North America"
246,Find Your ID NYC,https://images.crunchbase.com/image/upload/t_cb-default-original/zwsjorko6mla53oqbjo7,"Fyid Nyc is a creative agency specializing in brand development, PR, event management, and talent representation.",https://www.fyidnyc.com,https://www.linkedin.com/company/findyouridnyc,https://www.crunchbase.com/organization/find-your-id-nyc,"New York, New York, United States, North America"
247,Empire City Group,,"Empire City Grp. offers real estate services including property management, sales, leasing, and agent training.",https://www.empirecitygroup.com,,https://www.crunchbase.com/organization/empire-city-group,"New York, New York, United States, North America"
248,Neta Collab,https://images.crunchbase.com/image/upload/t_cb-default-original/e555f92lh0yppgxh5rmg,"Neta Collab is a firm specializing in creative, marketing, and advocacy for social justice, working with nonprofits and foundations.",https://www.netacollab.com,https://www.linkedin.com/company/netacollab,https://www.crunchbase.com/organization/neta-collab,"New York, New York, United States, North America"
249,Hive Property Management,https://images.crunchbase.com/image/upload/t_cb-default-original/gyl0gxf9fglbesjyk3c5,Hive Property Management is a boutique property management and lifestyle concierge company offering real estate solutions.,https://www.hive-property.com,,https://www.crunchbase.com/organization/hive-property-management,"New York, New York, United States, North America"
250,Vecto Rain,https://images.crunchbase.com/image/upload/t_cb-default-original/snavrl3ziuoym1rdcpff,"VectoRain is a specialized stock agency spcecifically developed to represent the best Vector Images, Graphics, Icons and Illustrations.",http://vectorain.com,,https://www.crunchbase.com/organization/vecto-rain,"Cologne, Nordrhein-Westfalen, Germany, Europe"
